Column1,Column2,Number
-4.73E+01,7.47E+01,737
3.25E+00,-1.49E+02,738
-2.52E+01,-7.46E+01,739
3.98E+01,1.44E+02,740
7.35E+00,-9.31E+01,741
-2.59E+00,1.12E+02,742
2.47E+01,-9.34E+01,743
1.41E+01,6.89E+01,744
-2.95E+01,3.47E+01,745
-3.36E+00,-8.93E+01,746
-4.06E+01,2.61E+01,747
-4.06E+01,2.61E+01,748
7.07E+01,-1.14E+02,749
-9.11E+01,1.27E+00,750
7.32E+01,1.18E+02,751
-1.16E+02,8.26E+01,752
4.55E+01,-9.91E+01,753
4.67E+01,3.22E+01,754
1.80E+01,-1.02E+02,755
-3.25E+00,4.69E+01,756
2.32E+01,-1.60E+02,757
9.51E-01,4.92E+01,758
2.47E+01,-1.40E+02,759
2.70E+01,7.43E+01,760
2.87E+01,-1.23E+02,761
4.20E+01,7.12E+01,762
1.80E+01,-1.14E+02,763
-4.39E+00,7.59E+01,764
-1.45E+01,-1.64E+02,765
-6.52E+01,4.27E+01,766
3.07E+01,-7.79E+01,767
2.70E+01,1.01E+02,768
1.46E+01,-7.98E+01,769
1.85E+01,1.01E+02,770
3.48E+01,1.11E+02,771
-4.56E+01,6.48E+01,772
-3.52E+01,-1.09E+01,773
1.10E+02,8.13E+01,774
1.38E+01,-1.50E+02,775
7.59E+00,1.76E+01,776
7.26E+00,1.90E+02,777
-2.41E+00,3.65E+01,778
2.16E+01,-1.37E+02,779
1.43E+01,4.26E+01,780
2.02E+01,-1.08E+02,781
1.68E+01,-1.08E+02,782
2.37E+01,-1.08E+02,783
2.73E+01,-1.07E+02,784
2.05E+01,6.73E+01,785
-1.04E+01,6.63E+01,786
2.92E+01,6.70E+01,787
4.03E+01,6.77E+01,788
5.85E+01,-1.39E+02,789
-1.34E+02,7.39E+01,790
5.19E+00,-2.09E+02,791
-5.15E+01,1.05E+02,792
-3.71E+01,2.67E+02,793
-3.71E+01,2.67E+02,794
4.81E+00,1.82E+02,795
6.60E+01,1.93E+02,796
-7.82E+01,2.91E+02,797
-5.56E+01,1.89E+02,798
-8.82E+01,2.72E+02,799
-2.28E+00,1.86E+02,800
