Year,Make,Model,Quantity,Country
2011,Toyota ,Toyota Avensis,246,Japan
2011,Toyota ,Toyota Avensis,410,Japan
2011,Toyota ,Toyota Avensis,266,Japan
2011,Toyota ,Toyota Avensis,321,Japan
2011,Toyota ,Toyota Avensis,288,Japan
2011,Toyota ,Toyota Avensis,268,Japan
2011,Toyota ,Toyota Avensis,225,Japan
2012,Toyota ,Toyota Avensis,221,Japan
2012,Toyota ,Toyota Avensis,423,Japan
2012,Toyota ,Toyota Avensis,500,Japan
2012,Toyota ,Toyota Avensis,316,Japan
2012,Toyota ,Toyota Avensis,376,Japan
2012,Toyota ,Toyota Avensis,333,Japan
2012,Toyota ,Toyota Avensis,378,Japan
2012,Toyota ,Toyota Avensis,280,Japan
2012,Toyota ,Toyota Avensis,288,Japan
2012,Toyota ,Toyota Avensis,286,Japan
2012,Toyota ,Toyota Avensis,187,Japan
2012,Toyota ,Toyota Avensis,138,Japan
2013,Toyota ,Toyota Avensis,203,Japan
2013,Toyota ,Toyota Avensis,196,Japan
2013,Toyota ,Toyota Avensis,224,Japan
2013,Toyota ,Toyota Avensis,208,Japan
2013,Toyota ,Toyota Avensis,276,Japan
2013,Toyota ,Toyota Avensis,165,Japan
2013,Toyota ,Toyota Avensis,222,Japan
2013,Toyota ,Toyota Avensis,157,Japan
2013,Toyota ,Toyota Avensis,188,Japan
2013,Toyota ,Toyota Avensis,176,Japan
2013,Toyota ,Toyota Avensis,102,Japan
2013,Toyota ,Toyota Avensis,58,Japan
2015,Toyota ,Toyota Avensis,98,Japan
2015,Toyota ,Toyota Avensis,25,Japan
2016,Toyota ,Toyota Avensis,83,Japan
2016,Toyota ,Toyota Avensis,170,Japan
2016,Toyota ,Toyota Avensis,194,Japan
2016,Toyota ,Toyota Avensis,152,Japan
2016,Toyota ,Toyota Avensis,123,Japan
2016,Toyota ,Toyota Avensis,186,Japan
2016,Toyota ,Toyota Avensis,139,Japan
2010,Toyota ,Toyota Prius,403,Japan
2010,Toyota ,Toyota Prius,204,Japan
2010,Toyota ,Toyota Prius,222,Japan
2010,Toyota ,Toyota Prius,200,Japan
2010,Toyota ,Toyota Prius,173,Japan
